T, Cp, H, S
200, 21.8965547316, 5003.18180877, 151.193303137
300, 21.278390649, 7155.86744486, 159.930015782
400, 21.0603339413, 9271.23757562, 166.017045977
500, 20.9601215351, 11371.6967527, 170.704498551
600, 20.9061346213, 13464.7606812, 174.520754244
700, 20.8738207773, 15553.6323776, 177.74082797
800, 20.8529776918, 17639.9018524, 180.526683558
900, 20.838762023, 19724.4464677, 182.981939892
1000, 20.828638722, 21807.7895166, 185.176970224
1100, 20.8211794961, 23890.2624033, 187.161784517
1200, 20.8155356965, 25972.0855777, 188.973211085
1300, 20.8111895272, 28053.4125728, 190.639163887
1400, 20.8078316782, 30134.3562675, 192.181310597
1500, 20.8052997414, 32215.0063133, 193.616811814
1600, 20.8035456501, 34295.4420396, 194.959494874
1700, 20.8026155624, 36375.7428234, 196.220669643
1800, 20.8026335875, 38455.9966872, 197.409709752
1900, 20.8037854584, 40536.3072866, 198.534475608
2000, 20.8063010763, 42616.7992083, 199.601627904
2100, 20.8104363804, 44697.6214824, 200.616863689
2200, 20.8164556262, 46778.9492915, 201.585096627
2300, 20.8246152144, 48860.9839767, 202.510596399
2400, 20.8351499596, 50943.9515426, 203.397097775
2500, 20.8482623287, 53028.0999343, 204.247886897
2600, 20.8641148173, 55113.6953956, 205.065870279
2700, 20.8828253453, 57201.0182176, 205.853630538
2800, 20.9044653532, 59290.3581654, 206.613471871
2900, 20.929060166, 61382.0098308, 207.347457523
3000, 20.9565911458, 63476.268116, 208.057440941
3100, 20.9869991663, 65573.4240015, 208.745091916
3200, 21.0201889779, 67673.7607103, 209.411918693
3300, 21.0560340945, 69777.5503363, 210.059286828
3400, 21.0943818973, 71885.0509755, 210.688435369
3500, 21.1350587181, 73996.5043676, 211.300490851
3600, 21.1778747223, 76112.134038, 211.896479451
3700, 21.2226284688, 78232.1439117, 212.47733761
3800, 21.2691110637, 80356.7173642, 213.043921352
3900, 21.3171098638, 82486.0166651, 213.597014504
4000, 21.366411712, 84620.1827693, 214.137335946
4100, 21.4168057073, 86759.3354073, 214.665546059
4200, 21.4680855283, 88903.573431, 215.182252442
4300, 21.5200513382, 91052.9753703, 215.688015011
4400, 21.5725113056, 93207.6001604, 216.18335056
4500, 21.6252827794, 95367.4880038, 216.66873682
4600, 21.6781931567, 97532.6613345, 217.144616117
4700, 21.7310804827, 99703.1258545, 217.611398632
4800, 21.7837938184, 101878.871619, 218.069465344
4900, 21.8361934123, 104059.874148, 218.519170663
5000, 21.8881507068, 106246.095546, 218.960844806
5100, 21.9395482088, 108437.485617, 219.394795935
5200, 21.990279249, 110633.98296, 219.82131208
5300, 22.0402476548, 112835.516035, 220.240662882
5400, 22.0893673542, 115042.00419, 220.653101153
5500, 22.13756193, 117253.358658, 221.058864298
5600, 22.1847641369, 119469.483488, 221.458175595
5700, 22.2309153961, 121690.276445, 221.851245352
5800, 22.2759652755, 123915.629846, 222.238271954
5900, 22.3198709666, 126145.431352, 222.619442818
6000, 22.3625967628, 128379.564702, 222.994935247
6100, 22.4041135463, 130617.910398, 223.364917221
6200, 22.444398288, 132860.346337, 223.729548097
6300, 22.483433563, 135106.748401, 224.088979263
6400, 22.5212070851, 137356.990986, 224.443354717
6500, 22.5577112622, 139610.947501, 224.792811608
6600, 22.5929427737, 141868.490812, 225.13748072
6700, 22.6269021699, 144129.493648, 225.477486913
6800, 22.6595934959, 146393.828973, 225.812949536
6900, 22.6910239373, 148661.370315, 226.14398279
7000, 22.7212034894, 150931.992062, 226.470696071
7100, 22.7501446488, 153205.569731, 226.79319428
7200, 22.7778621271, 155481.9802, 227.111578104
7300, 22.8043725842, 157761.10192, 227.425944285
7400, 22.8296943837, 160042.815093, 227.736385849
7500, 22.8538473657, 162327.001835, 228.042992338
7600, 22.8768526393, 164613.546308, 228.345850001
7700, 22.898732391, 166902.334844, 228.645041994
7800, 22.9195097103, 169193.256038, 228.940648542
7900, 22.9392084303, 171486.200832, 229.232747104
8000, 22.9578529823, 173781.062585, 229.52141252
8100, 22.975468264, 176077.737119, 229.806717147
8200, 22.9920795204, 178376.12277, 230.088730986
8300, 23.0077122352, 180676.120405, 230.3675218
8400, 23.0223920343, 182977.633453, 230.643155224
8500, 23.0361445983, 185280.567904, 230.915694866
8600, 23.0489955843, 187584.83232, 231.185202402
8700, 23.0609705563, 189890.337821, 231.451737665
8800, 23.0720949234, 192196.998078, 231.715358728
8900, 23.0823938847, 194504.729292, 231.976121982
9000, 23.0918923816, 196813.450173, 232.234082207
9100, 23.1006150549, 199123.081908, 232.489292642
9200, 23.1085862088, 201433.548134, 232.741805046
9300, 23.1158297785, 203744.774898, 232.991669762
9400, 23.1223693034, 206056.690622, 233.23893577
9500, 23.1282279039, 208369.226061, 233.483650744
9600, 23.1334282622, 210682.314262, 233.725861098
9700, 23.1379926064, 212995.890514, 233.965612037
9800, 23.141942698, 215309.892308, 234.202947601
9900, 23.1452998215, 217624.259288, 234.437910705
10000, 23.1480847774, 219938.933201, 234.670543183
10100, 23.1503178768, 222253.857849, 234.900885826
10200, 23.1520189388, 224568.979042, 235.128978416
10300, 23.1532072885, 226884.244547, 235.354859759
10400, 23.1539017581, 229199.604038, 235.578567725
10500, 23.1541206885, 231515.009048, 235.800139272
10600, 23.1538819329, 233830.41292, 236.019610478
10700, 23.1532028607, 236145.770758, 236.237016572
10800, 23.1521003633, 238461.039378, 236.452391959
10900, 23.1505908607, 240776.177264, 236.665770243
11000, 23.1486903087, 243091.144516, 236.87718426
11100, 23.1464142067, 245405.902808, 237.086666094
11200, 23.1437776071, 247720.415341, 237.294247102
11300, 23.1407951239, 250034.6468, 237.49995794
11400, 23.1374809434, 252348.56331, 237.703828576
11500, 23.1338488338, 254662.132392, 237.905888318
11600, 23.1299121571, 256975.322925, 238.106165831
11700, 23.1256838797, 259288.105104, 238.304689151
11800, 23.1211765845, 261600.450401, 238.501485711
11900, 23.1164024827, 263912.331528, 238.69658235
12000, 23.1113734271, 266223.722399, 238.890005339
12100, 23.106100924, 268534.598098, 239.081780387
12200, 23.1005961472, 270844.934842, 239.271932663
12300, 23.0948699516, 273154.709948, 239.460486812
12400, 23.0889328868, 275463.901804, 239.647466964
12500, 23.0827952119, 277772.489838, 239.832896752
12600, 23.0764669103, 280080.454492, 240.016799324
12700, 23.069957705, 282387.77719, 240.199197359
12800, 23.0632770741, 284694.440319, 240.380113076
12900, 23.0564342678, 287000.4272, 240.559568248
13000, 23.0494383243, 289305.722068, 240.737584215
13100, 23.042298088, 291610.310055, 240.914181895
13200, 23.0350222269, 293914.177165, 241.089381794
13300, 23.0276192517, 296217.310263, 241.26320402
13400, 23.0200975348, 298519.697058, 241.435668292
13500, 23.012465331, 300821.326087, 241.60679395
13600, 23.0047307977, 303122.186713, 241.776599969
13700, 22.9969020172, 305422.269106, 241.945104962
13800, 22.9889870193, 307721.564242, 242.112327198
13900, 22.9809938047, 310020.063902, 242.278284608
14000, 22.97293037, 312317.760663, 242.442994793
14100, 22.9648047331, 314614.647903, 242.606475036
14200, 22.9566249601, 316910.719805, 242.768742311
14300, 22.9483991936, 319205.971361, 242.929813291
14400, 22.9401356814, 321500.398385, 243.089704356
